batsmanName - Split 1,match,team,battingPos,batsmanName,runs,balls,fours,sixes,SR,out,match_id
Michael van Lingen,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,3,6,0,0,50,1,T20I # 1823
Divan la Cock,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,9,9,1,0,100,1,T20I # 1823
Jan Nicol Loftie-Eaton,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,1,T20I # 1823
Stephan Baard,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,1,T20I # 1823
Gerhard Erasmus,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,1,T20I # 1823
Jan Frylinck,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,1,T20I # 1823
David Wiese,Namibia Vs Sri Lanka,Namibia,7,David Wiese,0,1,0,0,0,1,T20I # 1823
JJ Smit,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,0,T20I # 1823
Pathum Nissanka,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90,1,T20I # 1823
Kusal Mendis,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,6,6,0,0,100,1,T20I # 1823
Dhananjaya de Silva,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,1,T20I # 1823
Danushka Gunathilaka,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0,1,T20I # 1823
Bhanuka Rajapaksa,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,1,T20I # 1823
Dasun Shanaka,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,1,T20I # 1823
Wanindu Hasaranga de Silva,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50,1,T20I # 1823
Chamika Karunaratne,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.5,1,T20I # 1823
Pramod Madushan,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,0,0,0,0,,1,T20I # 1823
Dushmantha Chameera,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,1,T20I # 1823
Maheesh Theekshana,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100,0,T20I # 1823
Chirag Suri,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,12,20,1,0,60,1,T20I # 1825
Muhammad Waseem,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,41,47,1,2,87.23,1,T20I # 1825
Kashif Daud,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud,15,14,0,1,107.14,1,T20I # 1825
Vriitya Aravind,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravind,18,21,0,0,85.71,1,T20I # 1825
Zawar Farid,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,2,4,0,0,50,1,T20I # 1825
Basil Hameed,U.A.E. Vs Netherlands,U.A.E.,6,Basil Hameed,4,4,1,0,100,1,T20I # 1825
Chundangapoyil Rizwan,U.A.E. Vs Netherlands,U.A.E.,7,Chundangapoyil Rizwan(c),1,2,0,0,50,1,T20I # 1825
Aayan Afzal Khan,U.A.E. Vs Netherlands,U.A.E.,8,Aayan Afzal Khan,5,7,0,0,71.42,1,T20I # 1825
Karthik Meiyappan,U.A.E. Vs Netherlands,U.A.E.,9,Karthik Meiyappan,0,0,0,0,,0,T20I # 1825
Junaid Siddique,U.A.E. Vs Netherlands,U.A.E.,10,Junaid Siddique,0,1,0,0,0,0,T20I # 1825
Vikramjit Singh,U.A.E. Vs Netherlands,Netherlands,1,Vikramjit Singh,10,7,2,0,142.85,1,T20I # 1825
Max O'Dowd,U.A.E. Vs Netherlands,Netherlands,2,Max O'Dowd,23,18,3,1,127.77,1,T20I # 1825
Bas de Leede,U.A.E. Vs Netherlands,Netherlands,3,Bas de Leede,14,18,1,0,77.77,1,T20I # 1825
Colin Ackermann,U.A.E. Vs Netherlands,Netherlands,4,Colin Ackermann,17,19,1,0,89.47,1,T20I # 1825
Tom Cooper,U.A.E. Vs Netherlands,Netherlands,5,Tom Cooper,8,16,0,0,50,1,T20I # 1825
Scott Edwards,U.A.E. Vs Netherlands,Netherlands,6,Scott Edwards(c),16,19,0,0,84.21,0,T20I # 1825
Roelof van der Merwe,U.A.E. Vs Netherlands,Netherlands,7,Roelof van der Merwe,0,2,0,0,0,1,T20I # 1825
Tim Pringle,U.A.E. Vs Netherlands,Netherlands,8,Tim Pringle,15,16,0,0,93.75,1,T20I # 1825
Logan van Beek,U.A.E. Vs Netherlands,Netherlands,9,Logan van Beek,4,4,0,0,100,0,T20I # 1825
George Munsey,Scotland Vs West Indies,Scotland,1,George Munsey,66,53,9,0,124.52,0,T20I # 1826
Michael Jones,Scotland Vs West Indies,Scotland,2,Michael Jones,20,17,3,0,117.64,1,T20I # 1826
Matthew Cross,Scotland Vs West Indies,Scotland,3,Matthew Cross,3,5,0,0,60,1,T20I # 1826
Richie Berrington,Scotland Vs West Indies,Scotland,4,Richie Berrington(c),16,14,0,1,114.28,1,T20I # 1826
Calum MacLeod,Scotland Vs West Indies,Scotland,5,Calum MacLeod,23,14,4,0,164.28,1,T20I # 1826
Michael Leask,Scotland Vs West Indies,Scotland,6,Michael Leask,4,6,0,0,66.66,1,T20I # 1826
Chris Greaves,Scotland Vs West Indies,Scotland,7,Chris Greaves,16,11,2,0,145.45,0,T20I # 1826
Kyle Mayers,Scotland Vs West Indies,West Indies,1,Kyle Mayers,20,13,3,1,153.84,1,T20I # 1826
Evin Lewis,Scotland Vs West Indies,West Indies,2,Evin Lewis,14,13,1,1,107.69,1,T20I # 1826
Brandon King,Scotland Vs West Indies,West Indies,3,Brandon King,17,15,3,0,113.33,1,T20I # 1826
Nicholas Pooran,Scotland Vs West Indies,West Indies,4,Nicholas Pooran(c),5,9,0,0,55.55,1,T20I # 1826
Shamarh Brooks,Scotland Vs West Indies,West Indies,5,Shamarh Brooks,4,9,0,0,44.44,1,T20I # 1826
Rovman Powell,Scotland Vs West Indies,West Indies,6,Rovman Powell,5,6,0,0,83.33,1,T20I # 1826
Jason Holder,Scotland Vs West Indies,West Indies,7,Jason Holder,38,33,4,1,115.15,1,T20I # 1826
Akeal Hosein,Scotland Vs West Indies,West Indies,8,Akeal Hosein,1,1,0,0,100,1,T20I # 1826
Alzarri Joseph,Scotland Vs West Indies,West Indies,9,Alzarri Joseph,0,1,0,0,0,1,T20I # 1826
Odean Smith,Scotland Vs West Indies,West Indies,10,Odean Smith,5,8,0,0,62.5,1,T20I # 1826
Obed McCoy,Scotland Vs West Indies,West Indies,11,Obed McCoy,2,3,0,0,66.66,0,T20I # 1826
Regis Chakabva,Zimbabwe Vs Ireland,Zimbabwe,1,Regis Chakabva,0,2,0,0,0,1,T20I # 1828
Craig Ervine,Zimbabwe Vs Ireland,Zimbabwe,2,Craig Ervine(c),9,12,1,0,75,1,T20I # 1828
Wessly Madhevere,Zimbabwe Vs Ireland,Zimbabwe,3,Wessly Madhevere,22,19,4,0,115.78,1,T20I # 1828
Sean Williams,Zimbabwe Vs Ireland,Zimbabwe,4,Sean Williams,12,11,0,1,109.09,1,T20I # 1828
Sikandar Raza,Zimbabwe Vs Ireland,Zimbabwe,5,Sikandar Raza,82,48,5,5,170.83,1,T20I # 1828
Milton Shumba,Zimbabwe Vs Ireland,Zimbabwe,6,Milton Shumba,16,14,1,0,114.28,1,T20I # 1828
Ryan Burl,Zimbabwe Vs Ireland,Zimbabwe,7,Ryan Burl,1,4,0,0,25,1,T20I # 1828
Luke Jongwe,Zimbabwe Vs Ireland,Zimbabwe,8,Luke Jongwe,20,10,3,0,200,0,T20I # 1828
Paul Stirling,Zimbabwe Vs Ireland,Ireland,1,Paul Stirling,0,2,0,0,0,1,T20I # 1828
Andy Balbirnie,Zimbabwe Vs Ireland,Ireland,2,Andy Balbirnie(c),3,4,0,0,75,1,T20I # 1828
Lorcan Tucker,Zimbabwe Vs Ireland,Ireland,3,Lorcan Tucker,11,11,2,0,100,1,T20I # 1828
Harry Tector,Zimbabwe Vs Ireland,Ireland,4,Harry Tector,1,4,0,0,25,1,T20I # 1828
Curtis Campher,Zimbabwe Vs Ireland,Ireland,5,Curtis Campher,27,22,1,0,122.72,1,T20I # 1828
George Dockrell,Zimbabwe Vs Ireland,Ireland,6,George Dockrell,24,20,3,0,120,1,T20I # 1828
Gareth Delany,Zimbabwe Vs Ireland,Ireland,7,Gareth Delany,24,20,1,1,120,1,T20I # 1828
Mark Adair,Zimbabwe Vs Ireland,Ireland,8,Mark Adair,9,10,0,1,90,1,T20I # 1828
Simi Singh,Zimbabwe Vs Ireland,Ireland,9,Simi Singh,0,1,0,0,0,1,T20I # 1828
Barry McCarthy,Zimbabwe Vs Ireland,Ireland,10,Barry McCarthy,22,16,1,2,137.5,0,T20I # 1828
Josh Little,Zimbabwe Vs Ireland,Ireland,11,Josh Little,7,11,1,0,63.63,0,T20I # 1828
Michael van Lingen,Namibia Vs Netherlands,Namibia,1,Michael van Lingen,20,19,3,0,105.26,1,T20I # 1830
Divan la Cock,Namibia Vs Netherlands,Namibia,2,Divan la Cock,0,2,0,0,0,1,T20I # 1830
Stephan Baard,Namibia Vs Netherlands,Namibia,3,Stephan Baard,19,22,0,0,86.36,1,T20I # 1830
Jan Nicol Loftie-Eaton,Namibia Vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton,0,2,0,0,0,1,T20I # 1830
Jan Frylinck,Namibia Vs Netherlands,Namibia,5,Jan Frylinck,43,48,1,1,89.58,1,T20I # 1830
Gerhard Erasmus,Namibia Vs Netherlands,Namibia,6,Gerhard Erasmus(c),16,18,0,0,88.88,1,T20I # 1830
David Wiese,Namibia Vs Netherlands,Namibia,7,David Wiese,11,5,1,0,220,0,T20I # 1830
JJ Smit,Namibia Vs Netherlands,Namibia,8,JJ Smit,5,4,1,0,125,0,T20I # 1830
Max O'Dowd,Namibia Vs Netherlands,Netherlands,1,Max O'Dowd,35,35,1,1,100,1,T20I # 1830
Vikramjit Singh,Namibia Vs Netherlands,Netherlands,2,Vikramjit Singh,39,31,3,2,125.8,1,T20I # 1830
Bas de Leede,Namibia Vs Netherlands,Netherlands,3,Bas de Leede,30,30,2,0,100,0,T20I # 1830
Tom Cooper,Namibia Vs Netherlands,Netherlands,4,Tom Cooper,6,6,1,0,100,1,T20I # 1830
Colin Ackermann,Namibia Vs Netherlands,Netherlands,5,Colin Ackermann,0,2,0,0,0,1,T20I # 1830
Scott Edwards,Namibia Vs Netherlands,Netherlands,6,Scott Edwards(c),1,5,0,0,20,1,T20I # 1830
Tim Pringle,Namibia Vs Netherlands,Netherlands,7,Tim Pringle,8,9,0,0,88.88,0,T20I # 1830
Pathum Nissanka,Sri Lanka Vs U.A.E.,Sri Lanka,1,Pathum Nissanka,74,60,6,2,123.33,1,T20I # 1832
Kusal Mendis,Sri Lanka Vs U.A.E.,Sri Lanka,2,Kusal Mendis,18,13,2,0,138.46,1,T20I # 1832
Dhananjaya de Silva,Sri Lanka Vs U.A.E.,Sri Lanka,3,Dhananjaya de Silva,33,21,3,1,157.14,1,T20I # 1832
Bhanuka Rajapaksa,Sri Lanka Vs U.A.E.,Sri Lanka,4,Bhanuka Rajapaksa,5,8,0,0,62.5,1,T20I # 1832
Charith Asalanka,Sri Lanka Vs U.A.E.,Sri Lanka,5,Charith Asalanka,0,1,0,0,0,1,T20I # 1832
Dasun Shanaka,Sri Lanka Vs U.A.E.,Sri Lanka,6,Dasun Shanaka(c),0,1,0,0,0,1,T20I # 1832
Wanindu Hasaranga de Silva,Sri Lanka Vs U.A.E.,Sri Lanka,7,Wanindu Hasaranga de Silva,2,3,0,0,66.66,1,T20I # 1832
Chamika Karunaratne,Sri Lanka Vs U.A.E.,Sri Lanka,8,Chamika Karunaratne,8,11,1,0,72.72,1,T20I # 1832
Pramod Madushan,Sri Lanka Vs U.A.E.,Sri Lanka,9,Pramod Madushan,1,1,0,0,100,0,T20I # 1832
Dushmantha Chameera,Sri Lanka Vs U.A.E.,Sri Lanka,10,Dushmantha Chameera,1,1,0,0,100,0,T20I # 1832
Muhammad Waseem,Sri Lanka Vs U.A.E.,U.A.E.,1,Muhammad Waseem,2,4,0,0,50,1,T20I # 1832
Chirag Suri,Sri Lanka Vs U.A.E.,U.A.E.,2,Chirag Suri,14,19,3,0,73.68,1,T20I # 1832
Aryan Lakra,Sri Lanka Vs U.A.E.,U.A.E.,3,Aryan Lakra,1,3,0,0,33.33,1,T20I # 1832
Chundangapoyil Rizwan,Sri Lanka Vs U.A.E.,U.A.E.,4,Chundangapoyil Rizwan(c),1,3,0,0,33.33,1,T20I # 1832
Vriitya Aravind,Sri Lanka Vs U.A.E.,U.A.E.,5,Vriitya Aravind,9,18,1,0,50,1,T20I # 1832
Basil Hameed,Sri Lanka Vs U.A.E.,U.A.E.,6,Basil Hameed,2,6,0,0,33.33,1,T20I # 1832
Aayan Afzal Khan,Sri Lanka Vs U.A.E.,U.A.E.,7,Aayan Afzal Khan,19,21,1,0,90.47,1,T20I # 1832
Kashif Daud,Sri Lanka Vs U.A.E.,U.A.E.,8,Kashif Daud,0,4,0,0,0,1,T20I # 1832
Karthik Meiyappan,Sri Lanka Vs U.A.E.,U.A.E.,9,Karthik Meiyappan,4,8,0,0,50,1,T20I # 1832
Junaid Siddique,Sri Lanka Vs U.A.E.,U.A.E.,10,Junaid Siddique,18,16,1,1,112.5,1,T20I # 1832
Zahoor Khan,Sri Lanka Vs U.A.E.,U.A.E.,11,Zahoor Khan,1,1,0,0,100,0,T20I # 1832
George Munsey,Scotland Vs Ireland,Scotland,1,George Munsey,1,2,0,0,50,1,T20I # 1833
Michael Jones,Scotland Vs Ireland,Scotland,2,Michael Jones,86,55,6,4,156.36,1,T20I # 1833
Matthew Cross,Scotland Vs Ireland,Scotland,3,Matthew Cross,28,21,5,0,133.33,1,T20I # 1833
Richie Berrington,Scotland Vs Ireland,Scotland,4,Richie Berrington(c),37,27,3,1,137.03,1,T20I # 1833
Michael Leask,Scotland Vs Ireland,Scotland,5,Michael Leask,17,13,2,0,130.76,0,T20I # 1833
Calum MacLeod,Scotland Vs Ireland,Scotland,6,Calum MacLeod,0,3,0,0,0,1,T20I # 1833
Paul Stirling,Scotland Vs Ireland,Ireland,1,Paul Stirling,8,10,1,0,80,1,T20I # 1833
Andy Balbirnie,Scotland Vs Ireland,Ireland,2,Andy Balbirnie(c),14,12,2,0,116.66,1,T20I # 1833
Lorcan Tucker,Scotland Vs Ireland,Ireland,3,Lorcan Tucker,20,17,2,0,117.64,1,T20I # 1833
Harry Tector,Scotland Vs Ireland,Ireland,4,Harry Tector,14,16,1,0,87.5,1,T20I # 1833
Curtis Campher,Scotland Vs Ireland,Ireland,5,Curtis Campher,72,32,7,2,225,0,T20I # 1833
George Dockrell,Scotland Vs Ireland,Ireland,6,George Dockrell,39,27,4,1,144.44,0,T20I # 1833
Kyle Mayers,West Indies Vs Zimbabwe,West Indies,1,Kyle Mayers,13,12,2,0,108.33,1,T20I # 1834
Johnson Charles,West Indies Vs Zimbabwe,West Indies,2,Johnson Charles,45,36,3,2,125,1,T20I # 1834
Evin Lewis,West Indies Vs Zimbabwe,West Indies,3,Evin Lewis,15,18,1,0,83.33,1,T20I # 1834
Nicholas Pooran,West Indies Vs Zimbabwe,West Indies,4,Nicholas Pooran(c),7,9,0,0,77.77,1,T20I # 1834
Rovman Powell,West Indies Vs Zimbabwe,West Indies,5,Rovman Powell,28,21,1,2,133.33,1,T20I # 1834
Shamarh Brooks,West Indies Vs Zimbabwe,West Indies,6,Shamarh Brooks,0,3,0,0,0,1,T20I # 1834
Jason Holder,West Indies Vs Zimbabwe,West Indies,7,Jason Holder,4,3,0,0,133.33,1,T20I # 1834
Akeal Hosein,West Indies Vs Zimbabwe,West Indies,8,Akeal Hosein,23,18,2,0,127.77,0,T20I # 1834
Odean Smith,West Indies Vs Zimbabwe,West Indies,9,Odean Smith,1,2,0,0,50,0,T20I # 1834
Wessly Madhevere,West Indies Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,27,19,3,1,142.1,1,T20I # 1834
Regis Chakabva,West Indies Vs Zimbabwe,Zimbabwe,2,Regis Chakabva(c),13,9,3,0,144.44,1,T20I # 1834
Tony Munyonga,West Indies Vs Zimbabwe,Zimbabwe,3,Tony Munyonga,2,6,0,0,33.33,1,T20I # 1834
Sean Williams,West Indies Vs Zimbabwe,Zimbabwe,4,Sean Williams,1,2,0,0,50,1,T20I # 1834
Sikandar Raza,West Indies Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,14,8,1,1,175,1,T20I # 1834
Milton Shumba,West Indies Vs Zimbabwe,Zimbabwe,6,Milton Shumba,2,9,0,0,22.22,1,T20I # 1834
Ryan Burl,West Indies Vs Zimbabwe,Zimbabwe,7,Ryan Burl,17,19,3,0,89.47,1,T20I # 1834
Luke Jongwe,West Indies Vs Zimbabwe,Zimbabwe,8,Luke Jongwe,29,22,3,1,131.81,1,T20I # 1834
Richard Ngarava,West Indies Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,2,6,0,0,33.33,1,T20I # 1834
Tendai Chatara,West Indies Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,3,8,0,0,37.5,1,T20I # 1834
Blessing Muzarabani,West Indies Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,1,4,0,0,25,0,T20I # 1834
Pathum Nissanka,Sri Lanka Vs Netherlands,Sri Lanka,1,Pathum Nissanka,14,21,0,1,66.66,1,T20I # 1835
Kusal Mendis,Sri Lanka Vs Netherlands,Sri Lanka,2,Kusal Mendis,79,44,5,5,179.54,1,T20I # 1835
Dhananjaya de Silva,Sri Lanka Vs Netherlands,Sri Lanka,3,Dhananjaya de Silva,0,1,0,0,0,1,T20I # 1835
Charith Asalanka,Sri Lanka Vs Netherlands,Sri Lanka,4,Charith Asalanka,31,30,3,0,103.33,1,T20I # 1835
Bhanuka Rajapaksa,Sri Lanka Vs Netherlands,Sri Lanka,5,Bhanuka Rajapaksa,19,13,2,0,146.15,1,T20I # 1835
Dasun Shanaka,Sri Lanka Vs Netherlands,Sri Lanka,6,Dasun Shanaka(c),8,5,0,1,160,1,T20I # 1835
Wanindu Hasaranga de Silva,Sri Lanka Vs Netherlands,Sri Lanka,7,Wanindu Hasaranga de Silva,5,4,0,0,125,0,T20I # 1835
Chamika Karunaratne,Sri Lanka Vs Netherlands,Sri Lanka,8,Chamika Karunaratne,2,2,0,0,100,0,T20I # 1835
Max O'Dowd,Sri Lanka Vs Netherlands,Netherlands,1,Max O'Dowd,71,53,6,3,133.96,0,T20I # 1835
Vikramjit Singh,Sri Lanka Vs Netherlands,Netherlands,2,Vikramjit Singh,7,14,0,0,50,1,T20I # 1835
Bas de Leede,Sri Lanka Vs Netherlands,Netherlands,3,Bas de Leede,14,10,1,1,140,1,T20I # 1835
Colin Ackermann,Sri Lanka Vs Netherlands,Netherlands,4,Colin Ackermann,0,1,0,0,0,1,T20I # 1835
Tom Cooper,Sri Lanka Vs Netherlands,Netherlands,5,Tom Cooper,16,19,2,0,84.21,1,T20I # 1835
Scott Edwards,Sri Lanka Vs Netherlands,Netherlands,6,Scott Edwards(c),21,15,3,0,140,1,T20I # 1835
Tim Pringle,Sri Lanka Vs Netherlands,Netherlands,7,Tim Pringle,2,4,0,0,50,1,T20I # 1835
Timm van der Gugten,Sri Lanka Vs Netherlands,Netherlands,8,Timm van der Gugten,0,1,0,0,0,1,T20I # 1835
Fred Klaassen,Sri Lanka Vs Netherlands,Netherlands,9,Fred Klaassen,3,3,0,0,100,1,T20I # 1835
Paul van Meekeren,Sri Lanka Vs Netherlands,Netherlands,10,Paul van Meekeren,0,0,0,0,,1,T20I # 1835
Roelof van der Merwe,Sri Lanka Vs Netherlands,Netherlands,11,Roelof van der Merwe,0,1,0,0,0,0,T20I # 1835
Muhammad Waseem,U.A.E. Vs Namibia,U.A.E.,1,Muhammad Waseem,50,41,1,3,121.95,1,T20I # 1836
Vriitya Aravind,U.A.E. Vs Namibia,U.A.E.,2,Vriitya Aravind,21,32,2,0,65.62,1,T20I # 1836
Chundangapoyil Rizwan,U.A.E. Vs Namibia,U.A.E.,3,Chundangapoyil Rizwan(c),43,29,3,1,148.27,0,T20I # 1836
Alishan Sharafu,U.A.E. Vs Namibia,U.A.E.,4,Alishan Sharafu,4,4,0,0,100,1,T20I # 1836
Basil Hameed,U.A.E. Vs Namibia,U.A.E.,5,Basil Hameed,25,14,2,2,178.57,0,T20I # 1836
Michael van Lingen,U.A.E. Vs Namibia,Namibia,1,Michael van Lingen,10,8,1,0,125,1,T20I # 1836
Stephan Baard,U.A.E. Vs Namibia,Namibia,2,Stephan Baard,4,6,1,0,66.66,1,T20I # 1836
Jan Nicol Loftie-Eaton,U.A.E. Vs Namibia,Namibia,3,Jan Nicol Loftie-Eaton,1,6,0,0,16.66,1,T20I # 1836
Gerhard Erasmus,U.A.E. Vs Namibia,Namibia,4,Gerhard Erasmus(c),16,18,2,0,88.88,1,T20I # 1836
Jan Frylinck,U.A.E. Vs Namibia,Namibia,5,Jan Frylinck,14,17,1,0,82.35,1,T20I # 1836
