batsmanName - Split 1,match,team,battingPos,batsmanName,runs,balls,fours,sixes,SR,out,match_id
JJ Smit,U.A.E. Vs Namibia,Namibia,6,JJ Smit,3,3,0,0,100,1,T20I # 1836
David Wiese,U.A.E. Vs Namibia,Namibia,7,David Wiese,55,36,3,3,152.77,1,T20I # 1836
Zane Green,U.A.E. Vs Namibia,Namibia,8,Zane Green,2,3,0,0,66.66,1,T20I # 1836
Ruben Trumpelmann,U.A.E. Vs Namibia,Namibia,9,Ruben Trumpelmann,25,24,1,1,104.16,0,T20I # 1836
Bernard Scholtz,U.A.E. Vs Namibia,Namibia,10,Bernard Scholtz,1,1,0,0,100,0,T20I # 1836
Kyle Mayers,West Indies Vs Ireland,West Indies,1,Kyle Mayers,1,5,0,0,20,1,T20I # 1837
Johnson Charles,West Indies Vs Ireland,West Indies,2,Johnson Charles,24,18,3,1,133.33,1,T20I # 1837
Evin Lewis,West Indies Vs Ireland,West Indies,3,Evin Lewis,13,18,0,0,72.22,1,T20I # 1837
Brandon King,West Indies Vs Ireland,West Indies,4,Brandon King,62,48,6,1,129.16,0,T20I # 1837
Nicholas Pooran,West Indies Vs Ireland,West Indies,5,Nicholas Pooran(c),13,11,0,1,118.18,1,T20I # 1837
Rovman Powell,West Indies Vs Ireland,West Indies,6,Rovman Powell,6,8,1,0,75,1,T20I # 1837
Odean Smith,West Indies Vs Ireland,West Indies,7,Odean Smith,19,12,1,2,158.33,0,T20I # 1837
Paul Stirling,West Indies Vs Ireland,Ireland,1,Paul Stirling,66,48,6,2,137.5,0,T20I # 1837
Andy Balbirnie,West Indies Vs Ireland,Ireland,2,Andy Balbirnie(c),37,23,3,3,160.86,1,T20I # 1837
Lorcan Tucker,West Indies Vs Ireland,Ireland,3,Lorcan Tucker,45,35,2,2,128.57,0,T20I # 1837
George Munsey,Scotland Vs Zimbabwe,Scotland,1,George Munsey,54,51,7,0,105.88,1,T20I # 1838
Michael Jones,Scotland Vs Zimbabwe,Scotland,2,Michael Jones,4,5,1,0,80,1,T20I # 1838
Matthew Cross,Scotland Vs Zimbabwe,Scotland,3,Matthew Cross,1,7,0,0,14.28,1,T20I # 1838
Richie Berrington,Scotland Vs Zimbabwe,Scotland,4,Richie Berrington(c),13,15,0,0,86.66,1,T20I # 1838
Calum MacLeod,Scotland Vs Zimbabwe,Scotland,5,Calum MacLeod,25,26,1,0,96.15,1,T20I # 1838
Michael Leask,Scotland Vs Zimbabwe,Scotland,6,Michael Leask,12,9,2,0,133.33,1,T20I # 1838
Chris Greaves,Scotland Vs Zimbabwe,Scotland,7,Chris Greaves,3,7,0,0,42.85,0,T20I # 1838
Josh Davey,Scotland Vs Zimbabwe,Scotland,8,Josh Davey,4,3,0,0,133.33,0,T20I # 1838
Regis Chakabva,Scotland Vs Zimbabwe,Zimbabwe,1,Regis Chakabva,4,3,1,0,133.33,1,T20I # 1838
Craig Ervine,Scotland Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),58,54,6,0,107.4,1,T20I # 1838
Wessly Madhevere,Scotland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,0,5,0,0,0,1,T20I # 1838
Sean Williams,Scotland Vs Zimbabwe,Zimbabwe,4,Sean Williams,7,12,0,0,58.33,1,T20I # 1838
Sikandar Raza,Scotland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,40,23,3,2,173.91,1,T20I # 1838
Milton Shumba,Scotland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,11,11,0,0,100,0,T20I # 1838
Ryan Burl,Scotland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,9,5,1,0,180,0,T20I # 1838
Finn Allen,New Zealand Vs Australia,New Zealand,1,Finn Allen,42,16,5,3,262.5,1,T20I # 1839
Devon Conway,New Zealand Vs Australia,New Zealand,2,Devon Conway,92,58,7,2,158.62,0,T20I # 1839
Kane Williamson,New Zealand Vs Australia,New Zealand,3,Kane Williamson(c),23,23,1,1,100,1,T20I # 1839
Glenn Phillips,New Zealand Vs Australia,New Zealand,4,Glenn Phillips,12,10,2,0,120,1,T20I # 1839
James Neesham,New Zealand Vs Australia,New Zealand,5,James Neesham,26,13,0,2,200,0,T20I # 1839
David Warner,New Zealand Vs Australia,Australia,1,David Warner,5,6,1,0,83.33,1,T20I # 1839
Aaron Finch,New Zealand Vs Australia,Australia,2,Aaron Finch(c),13,11,1,1,118.18,1,T20I # 1839
Mitchell Marsh,New Zealand Vs Australia,Australia,3,Mitchell Marsh,16,12,2,1,133.33,1,T20I # 1839
Glenn Maxwell,New Zealand Vs Australia,Australia,4,Glenn Maxwell,28,20,3,1,140,1,T20I # 1839
Marcus Stoinis,New Zealand Vs Australia,Australia,5,Marcus Stoinis,7,14,0,0,50,1,T20I # 1839
Tim David,New Zealand Vs Australia,Australia,6,Tim David,11,8,0,1,137.5,1,T20I # 1839
Matthew Wade,New Zealand Vs Australia,Australia,7,Matthew Wade,2,4,0,0,50,1,T20I # 1839
Pat Cummins,New Zealand Vs Australia,Australia,8,Pat Cummins,21,18,2,1,116.66,1,T20I # 1839
Mitchell Starc,New Zealand Vs Australia,Australia,9,Mitchell Starc,4,7,0,0,57.14,1,T20I # 1839
Adam Zampa,New Zealand Vs Australia,Australia,10,Adam Zampa,0,2,0,0,0,1,T20I # 1839
Josh Hazlewood,New Zealand Vs Australia,Australia,11,Josh Hazlewood,1,1,0,0,100,0,T20I # 1839
Hazratullah Zazai,Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,7,17,1,0,41.17,1,T20I # 1840
Rahmanullah Gurbaz,Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz,10,9,0,1,111.11,1,T20I # 1840
Ibrahim Zadran,Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,32,32,3,1,100,1,T20I # 1840
Usman Ghani,Afghanistan Vs England,Afghanistan,4,Usman Ghani,30,30,3,0,100,1,T20I # 1840
Najibullah Zadran,Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,13,11,0,1,118.18,1,T20I # 1840
Mohammad Nabi,Afghanistan Vs England,Afghanistan,6,Mohammad Nabi(c),3,5,0,0,60,1,T20I # 1840
Azmatullah Omarzai,Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,8,6,1,0,133.33,1,T20I # 1840
Rashid Khan,Afghanistan Vs England,Afghanistan,8,Rashid Khan,0,1,0,0,0,1,T20I # 1840
Mujeeb Ur Rahman,Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,0,1,0,0,0,1,T20I # 1840
Fareed Ahmad,Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,2,4,0,0,50,0,T20I # 1840
Fazalhaq Farooqi,Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0,1,T20I # 1840
Jos Buttler,Afghanistan Vs England,England,1,Jos Buttler(c),18,18,3,0,100,1,T20I # 1840
Alex Hales,Afghanistan Vs England,England,2,Alex Hales,19,20,0,1,95,1,T20I # 1840
Dawid Malan,Afghanistan Vs England,England,3,Dawid Malan,18,30,0,0,60,1,T20I # 1840
Ben Stokes,Afghanistan Vs England,England,4,Ben Stokes,2,4,0,0,50,1,T20I # 1840
Liam Livingstone,Afghanistan Vs England,England,5,Liam Livingstone,29,21,3,0,138.09,0,T20I # 1840
Harry Brook,Afghanistan Vs England,England,6,Harry Brook,7,6,0,0,116.66,1,T20I # 1840
Moeen Ali,Afghanistan Vs England,England,7,Moeen Ali,8,10,0,0,80,0,T20I # 1840
Paul Stirling,Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,34,25,4,1,136,1,T20I # 1841
Andy Balbirnie,Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie(c),1,5,0,0,20,1,T20I # 1841
Lorcan Tucker,Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker,10,11,1,0,90.9,1,T20I # 1841
Harry Tector,Ireland Vs Sri Lanka,Ireland,4,Harry Tector,45,42,2,1,107.14,1,T20I # 1841
Curtis Campher,Ireland Vs Sri Lanka,Ireland,5,Curtis Campher,2,4,0,0,50,1,T20I # 1841
George Dockrell,Ireland Vs Sri Lanka,Ireland,6,George Dockrell,14,16,0,0,87.5,1,T20I # 1841
Gareth Delany,Ireland Vs Sri Lanka,Ireland,7,Gareth Delany,9,6,1,0,150,1,T20I # 1841
Mark Adair,Ireland Vs Sri Lanka,Ireland,8,Mark Adair,0,1,0,0,0,1,T20I # 1841
Simi Singh,Ireland Vs Sri Lanka,Ireland,9,Simi Singh,7,8,1,0,87.5,0,T20I # 1841
Barry McCarthy,Ireland Vs Sri Lanka,Ireland,10,Barry McCarthy,2,2,0,0,100,0,T20I # 1841
Kusal Mendis,Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis,68,43,5,3,158.13,0,T20I # 1841
Dhananjaya de Silva,Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,31,25,2,1,124,1,T20I # 1841
Charith Asalanka,Ireland Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,31,22,2,0,140.9,0,T20I # 1841
Mohammad Rizwan,Pakistan Vs India,Pakistan,1,Mohammad Rizwan,4,12,1,0,33.33,1,T20I # 1842
Babar Azam,Pakistan Vs India,Pakistan,2,Babar Azam(c),0,1,0,0,0,1,T20I # 1842
Shan Masood,Pakistan Vs India,Pakistan,3,Shan Masood,52,42,5,0,123.8,0,T20I # 1842
Iftikhar Ahmed,Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,51,34,2,4,150,1,T20I # 1842
Shadab Khan,Pakistan Vs India,Pakistan,5,Shadab Khan,5,6,1,0,83.33,1,T20I # 1842
Haider Ali,Pakistan Vs India,Pakistan,6,Haider Ali,2,4,0,0,50,1,T20I # 1842
Mohammad Nawaz,Pakistan Vs India,Pakistan,7,Mohammad Nawaz,9,6,2,0,150,1,T20I # 1842
Asif Ali,Pakistan Vs India,Pakistan,8,Asif Ali,2,3,0,0,66.66,1,T20I # 1842
Shaheen Shah Afridi,Pakistan Vs India,Pakistan,9,Shaheen Shah Afridi,16,8,1,1,200,1,T20I # 1842
Haris Rauf,Pakistan Vs India,Pakistan,10,Haris Rauf,6,4,0,1,150,0,T20I # 1842
KL Rahul,Pakistan Vs India,India,1,KL Rahul,4,8,0,0,50,1,T20I # 1842
Rohit Sharma,Pakistan Vs India,India,2,Rohit Sharma(c),4,7,0,0,57.14,1,T20I # 1842
Virat Kohli,Pakistan Vs India,India,3,Virat Kohli,82,53,6,4,154.71,0,T20I # 1842
Suryakumar Yadav,Pakistan Vs India,India,4,Suryakumar Yadav,15,10,2,0,150,1,T20I # 1842
Axar Patel,Pakistan Vs India,India,5,Axar Patel,2,3,0,0,66.66,1,T20I # 1842
Hardik Pandya,Pakistan Vs India,India,6,Hardik Pandya,40,37,1,2,108.1,1,T20I # 1842
Dinesh Karthik,Pakistan Vs India,India,7,Dinesh Karthik,1,2,0,0,50,1,T20I # 1842
Ravichandran Ashwin,Pakistan Vs India,India,8,Ravichandran Ashwin,1,1,0,0,100,0,T20I # 1842
Najmul Hossain Shanto,Bangladesh Vs Netherlands,Bangladesh,1,Najmul Hossain Shanto,25,20,4,0,125,1,T20I # 1843
Soumya Sarkar,Bangladesh Vs Netherlands,Bangladesh,2,Soumya Sarkar,14,14,2,0,100,1,T20I # 1843
Litton Das,Bangladesh Vs Netherlands,Bangladesh,3,Litton Das,9,11,0,0,81.81,1,T20I # 1843
Shakib Al Hasan,Bangladesh Vs Netherlands,Bangladesh,4,Shakib Al Hasan(c),7,9,0,0,77.77,1,T20I # 1843
Afif Hossain,Bangladesh Vs Netherlands,Bangladesh,5,Afif Hossain,38,27,2,2,140.74,1,T20I # 1843
Yasir Ali,Bangladesh Vs Netherlands,Bangladesh,6,Yasir Ali,3,5,0,0,60,1,T20I # 1843
Nurul Hasan,Bangladesh Vs Netherlands,Bangladesh,7,Nurul Hasan,13,18,0,0,72.22,1,T20I # 1843
Mosaddek Hossain,Bangladesh Vs Netherlands,Bangladesh,8,Mosaddek Hossain,20,12,2,1,166.66,0,T20I # 1843
Taskin Ahmed,Bangladesh Vs Netherlands,Bangladesh,9,Taskin Ahmed,0,1,0,0,0,1,T20I # 1843
Hasan Mahmud,Bangladesh Vs Netherlands,Bangladesh,10,Hasan Mahmud,0,3,0,0,0,0,T20I # 1843
Vikramjit Singh,Bangladesh Vs Netherlands,Netherlands,1,Vikramjit Singh,0,1,0,0,0,1,T20I # 1843
Max O'Dowd,Bangladesh Vs Netherlands,Netherlands,2,Max O'Dowd,8,8,0,1,100,1,T20I # 1843
Bas de Leede,Bangladesh Vs Netherlands,Netherlands,3,Bas de Leede,0,1,0,0,0,1,T20I # 1843
Colin Ackermann,Bangladesh Vs Netherlands,Netherlands,4,Colin Ackermann,62,48,6,2,129.16,1,T20I # 1843
Tom Cooper,Bangladesh Vs Netherlands,Netherlands,5,Tom Cooper,0,0,0,0,,1,T20I # 1843
Scott Edwards,Bangladesh Vs Netherlands,Netherlands,6,Scott Edwards(c),16,24,1,0,66.66,1,T20I # 1843
Tim Pringle,Bangladesh Vs Netherlands,Netherlands,7,Tim Pringle,1,6,0,0,16.66,1,T20I # 1843
Logan van Beek,Bangladesh Vs Netherlands,Netherlands,8,Logan van Beek,2,5,0,0,40,1,T20I # 1843
Shariz Ahmad,Bangladesh Vs Netherlands,Netherlands,9,Shariz Ahmad,9,8,1,0,112.5,1,T20I # 1843
Fred Klaassen,Bangladesh Vs Netherlands,Netherlands,10,Fred Klaassen,7,6,0,0,116.66,0,T20I # 1843
Paul van Meekeren,Bangladesh Vs Netherlands,Netherlands,11,Paul van Meekeren,24,14,3,1,171.42,1,T20I # 1843
Regis Chakabva,Zimbabwe Vs South Africa,Zimbabwe,1,Regis Chakabva,8,8,0,1,100,1,T20I # 1844
Craig Ervine,Zimbabwe Vs South Africa,Zimbabwe,2,Craig Ervine(c),2,6,0,0,33.33,1,T20I # 1844
Sean Williams,Zimbabwe Vs South Africa,Zimbabwe,3,Sean Williams,1,1,0,0,100,1,T20I # 1844
Sikandar Raza,Zimbabwe Vs South Africa,Zimbabwe,4,Sikandar Raza,0,2,0,0,0,1,T20I # 1844
Wessly Madhevere,Zimbabwe Vs South Africa,Zimbabwe,5,Wessly Madhevere,35,18,4,1,194.44,0,T20I # 1844
Milton Shumba,Zimbabwe Vs South Africa,Zimbabwe,6,Milton Shumba,18,20,2,0,90,1,T20I # 1844
Quinton de Kock,Zimbabwe Vs South Africa,South Africa,1,Quinton de Kock,47,18,8,1,261.11,0,T20I # 1844
Temba Bavuma,Zimbabwe Vs South Africa,South Africa,2,Temba Bavuma(c),2,2,0,0,100,0,T20I # 1844
Pathum Nissanka,Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,40,45,2,0,88.88,1,T20I # 1845
Kusal Mendis,Sri Lanka Vs Australia,Sri Lanka,2,Kusal Mendis,5,6,1,0,83.33,1,T20I # 1845
Dhananjaya de Silva,Sri Lanka Vs Australia,Sri Lanka,3,Dhananjaya de Silva,26,23,3,0,113.04,1,T20I # 1845
Charith Asalanka,Sri Lanka Vs Australia,Sri Lanka,4,Charith Asalanka,38,25,3,2,152,0,T20I # 1845
Bhanuka Rajapaksa,Sri Lanka Vs Australia,Sri Lanka,5,Bhanuka Rajapaksa,7,5,1,0,140,1,T20I # 1845
Dasun Shanaka,Sri Lanka Vs Australia,Sri Lanka,6,Dasun Shanaka(c),3,5,0,0,60,1,T20I # 1845
Wanindu Hasaranga de Silva,Sri Lanka Vs Australia,Sri Lanka,7,Wanindu Hasaranga de Silva,1,4,0,0,25,1,T20I # 1845
Chamika Karunaratne,Sri Lanka Vs Australia,Sri Lanka,8,Chamika Karunaratne,14,7,2,0,200,0,T20I # 1845
David Warner,Sri Lanka Vs Australia,Australia,1,David Warner,11,10,0,0,110,1,T20I # 1845
Aaron Finch,Sri Lanka Vs Australia,Australia,2,Aaron Finch(c),31,42,0,1,73.8,0,T20I # 1845
Mitchell Marsh,Sri Lanka Vs Australia,Australia,3,Mitchell Marsh,17,17,1,1,100,1,T20I # 1845
Glenn Maxwell,Sri Lanka Vs Australia,Australia,4,Glenn Maxwell,23,12,2,2,191.66,1,T20I # 1845
Marcus Stoinis,Sri Lanka Vs Australia,Australia,5,Marcus Stoinis,59,18,4,6,327.77,0,T20I # 1845
Paul Stirling,Ireland Vs England,Ireland,1,Paul Stirling,14,8,1,1,175,1,T20I # 1846
Andy Balbirnie,Ireland Vs England,Ireland,2,Andy Balbirnie(c),62,47,5,2,131.91,1,T20I # 1846
Lorcan Tucker,Ireland Vs England,Ireland,3,Lorcan Tucker,34,27,3,1,125.92,1,T20I # 1846
Harry Tector,Ireland Vs England,Ireland,4,Harry Tector,0,2,0,0,0,1,T20I # 1846
Curtis Campher,Ireland Vs England,Ireland,5,Curtis Campher,18,11,3,0,163.63,1,T20I # 1846
George Dockrell,Ireland Vs England,Ireland,6,George Dockrell,0,1,0,0,0,1,T20I # 1846
Gareth Delany,Ireland Vs England,Ireland,7,Gareth Delany,12,10,1,0,120,0,T20I # 1846
Mark Adair,Ireland Vs England,Ireland,8,Mark Adair,4,4,0,0,100,1,T20I # 1846
Barry McCarthy,Ireland Vs England,Ireland,9,Barry McCarthy,3,3,0,0,100,1,T20I # 1846
Fionn Hand,Ireland Vs England,Ireland,10,Fionn Hand,1,2,0,0,50,1,T20I # 1846
Josh Little,Ireland Vs England,Ireland,11,Josh Little,0,1,0,0,0,1,T20I # 1846
Jos Buttler,Ireland Vs England,England,1,Jos Buttler(c),0,2,0,0,0,1,T20I # 1846
Alex Hales,Ireland Vs England,England,2,Alex Hales,7,5,1,0,140,1,T20I # 1846
Dawid Malan,Ireland Vs England,England,3,Dawid Malan,35,37,2,0,94.59,1,T20I # 1846
Ben Stokes,Ireland Vs England,England,4,Ben Stokes,6,8,0,0,75,1,T20I # 1846
Harry Brook,Ireland Vs England,England,5,Harry Brook,18,21,1,0,85.71,1,T20I # 1846
Moeen Ali,Ireland Vs England,England,6,Moeen Ali,24,12,3,1,200,0,T20I # 1846
Liam Livingstone,Ireland Vs England,England,7,Liam Livingstone,1,2,0,0,50,0,T20I # 1846
Temba Bavuma,South Africa Vs Bangladesh,South Africa,1,Temba Bavuma(c),2,6,0,0,33.33,1,T20I # 1847
Quinton de Kock,South Africa Vs Bangladesh,South Africa,2,Quinton de Kock,63,38,7,3,165.78,1,T20I # 1847
Rilee Rossouw,South Africa Vs Bangladesh,South Africa,3,Rilee Rossouw,109,56,7,8,194.64,1,T20I # 1847
Tristan Stubbs,South Africa Vs Bangladesh,South Africa,4,Tristan Stubbs,7,7,1,0,100,1,T20I # 1847
Aiden Markram,South Africa Vs Bangladesh,South Africa,5,Aiden Markram,10,11,1,0,90.9,1,T20I # 1847
David Miller,South Africa Vs Bangladesh,South Africa,6,David Miller,2,4,0,0,50,0,T20I # 1847
Wayne Parnell,South Africa Vs Bangladesh,South Africa,7,Wayne Parnell,0,2,0,0,0,0,T20I # 1847
Najmul Hossain Shanto,South Africa Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,9,9,1,0,100,1,T20I # 1847
Soumya Sarkar,South Africa Vs Bangladesh,Bangladesh,2,Soumya Sarkar,15,6,0,2,250,1,T20I # 1847
Litton Das,South Africa Vs Bangladesh,Bangladesh,3,Litton Das,34,31,1,1,109.67,1,T20I # 1847
Shakib Al Hasan,South Africa Vs Bangladesh,Bangladesh,4,Shakib Al Hasan(c),1,4,0,0,25,1,T20I # 1847
Afif Hossain,South Africa Vs Bangladesh,Bangladesh,5,Afif Hossain,1,5,0,0,20,1,T20I # 1847
Mehidy Hasan Miraz,South Africa Vs Bangladesh,Bangladesh,6,Mehidy Hasan Miraz,11,13,0,0,84.61,1,T20I # 1847
Mosaddek Hossain,South Africa Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,0,3,0,0,0,1,T20I # 1847
Nurul Hasan,South Africa Vs Bangladesh,Bangladesh,8,Nurul Hasan,2,6,0,0,33.33,1,T20I # 1847
Taskin Ahmed,South Africa Vs Bangladesh,Bangladesh,9,Taskin Ahmed,10,17,1,0,58.82,1,T20I # 1847
Hasan Mahmud,South Africa Vs Bangladesh,Bangladesh,10,Hasan Mahmud,0,2,0,0,0,1,T20I # 1847
Mustafizur Rahman,South Africa Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,9,3,0,1,300,0,T20I # 1847
KL Rahul,India Vs Netherlands,India,1,KL Rahul,9,12,1,0,75,1,T20I # 1848
Rohit Sharma,India Vs Netherlands,India,2,Rohit Sharma(c),53,39,4,3,135.89,1,T20I # 1848
Virat Kohli,India Vs Netherlands,India,3,Virat Kohli,62,44,3,2,140.9,0,T20I # 1848
