batsmanName - Split 1,match,team,battingPos,batsmanName,runs,balls,fours,sixes,SR,out,match_id
Suryakumar Yadav,India Vs Bangladesh,India,4,Suryakumar Yadav,30,16,4,0,187.5,1,T20I # 1860
Hardik Pandya,India Vs Bangladesh,India,5,Hardik Pandya,5,6,0,0,83.33,1,T20I # 1860
Dinesh Karthik,India Vs Bangladesh,India,6,Dinesh Karthik,7,5,1,0,140,1,T20I # 1860
Axar Patel,India Vs Bangladesh,India,7,Axar Patel,7,6,1,0,116.66,1,T20I # 1860
Ravichandran Ashwin,India Vs Bangladesh,India,8,Ravichandran Ashwin,13,6,1,1,216.66,0,T20I # 1860
Najmul Hossain Shanto,India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,21,25,1,1,84,1,T20I # 1860
Litton Das,India Vs Bangladesh,Bangladesh,2,Litton Das,60,27,7,3,222.22,1,T20I # 1860
Shakib Al Hasan,India Vs Bangladesh,Bangladesh,3,Shakib Al Hasan(c),13,12,2,0,108.33,1,T20I # 1860
Afif Hossain,India Vs Bangladesh,Bangladesh,4,Afif Hossain,3,5,0,0,60,1,T20I # 1860
Yasir Ali,India Vs Bangladesh,Bangladesh,5,Yasir Ali,1,3,0,0,33.33,1,T20I # 1860
Nurul Hasan,India Vs Bangladesh,Bangladesh,6,Nurul Hasan,25,14,2,1,178.57,0,T20I # 1860
Mosaddek Hossain,India Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,6,3,0,1,200,1,T20I # 1860
Taskin Ahmed,India Vs Bangladesh,Bangladesh,8,Taskin Ahmed,12,7,1,1,171.42,0,T20I # 1860
Mohammad Rizwan,Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan,4,4,1,0,100,1,T20I # 1861
Babar Azam,Pakistan Vs South Africa,Pakistan,2,Babar Azam(c),6,15,0,0,40,1,T20I # 1861
Mohammad Haris,Pakistan Vs South Africa,Pakistan,3,Mohammad Haris,28,11,2,3,254.54,1,T20I # 1861
Shan Masood,Pakistan Vs South Africa,Pakistan,4,Shan Masood,2,6,0,0,33.33,1,T20I # 1861
Iftikhar Ahmed,Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,51,35,3,2,145.71,1,T20I # 1861
Mohammad Nawaz,Pakistan Vs South Africa,Pakistan,6,Mohammad Nawaz,28,22,4,1,127.27,1,T20I # 1861
Shadab Khan,Pakistan Vs South Africa,Pakistan,7,Shadab Khan,52,22,3,4,236.36,1,T20I # 1861
Mohammad Wasim,Pakistan Vs South Africa,Pakistan,8,Mohammad Wasim,0,1,0,0,0,1,T20I # 1861
Naseem Shah,Pakistan Vs South Africa,Pakistan,9,Naseem Shah,5,3,0,0,166.66,0,T20I # 1861
Haris Rauf,Pakistan Vs South Africa,Pakistan,10,Haris Rauf,3,2,0,0,150,1,T20I # 1861
Temba Bavuma,Pakistan Vs South Africa,South Africa,1,Temba Bavuma(c),36,19,4,1,189.47,1,T20I # 1861
Quinton de Kock,Pakistan Vs South Africa,South Africa,2,Quinton de Kock,0,5,0,0,0,1,T20I # 1861
Rilee Rossouw,Pakistan Vs South Africa,South Africa,3,Rilee Rossouw,7,6,0,1,116.66,1,T20I # 1861
Aiden Markram,Pakistan Vs South Africa,South Africa,4,Aiden Markram,20,14,4,0,142.85,1,T20I # 1861
Heinrich Klaasen,Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen,15,9,3,0,166.66,1,T20I # 1861
Tristan Stubbs,Pakistan Vs South Africa,South Africa,6,Tristan Stubbs,18,18,0,1,100,1,T20I # 1861
Wayne Parnell,Pakistan Vs South Africa,South Africa,7,Wayne Parnell,3,4,0,0,75,1,T20I # 1861
Kagiso Rabada,Pakistan Vs South Africa,South Africa,8,Kagiso Rabada,1,2,0,0,50,1,T20I # 1861
Anrich Nortje,Pakistan Vs South Africa,South Africa,9,Anrich Nortje,1,5,0,0,20,1,T20I # 1861
Lungi Ngidi,Pakistan Vs South Africa,South Africa,10,Lungi Ngidi,4,1,1,0,400,0,T20I # 1861
Tabraiz Shamsi,Pakistan Vs South Africa,South Africa,11,Tabraiz Shamsi,1,1,0,0,100,0,T20I # 1861
Finn Allen,New Zealand Vs Ireland,New Zealand,1,Finn Allen,32,18,5,1,177.77,1,T20I # 1862
Devon Conway,New Zealand Vs Ireland,New Zealand,2,Devon Conway,28,33,2,0,84.84,1,T20I # 1862
Kane Williamson,New Zealand Vs Ireland,New Zealand,3,Kane Williamson(c),61,35,5,3,174.28,1,T20I # 1862
Glenn Phillips,New Zealand Vs Ireland,New Zealand,4,Glenn Phillips,17,9,2,1,188.88,1,T20I # 1862
Daryl Mitchell,New Zealand Vs Ireland,New Zealand,5,Daryl Mitchell,31,21,2,0,147.61,0,T20I # 1862
James Neesham,New Zealand Vs Ireland,New Zealand,6,James Neesham,0,1,0,0,0,1,T20I # 1862
Mitchell Santner,New Zealand Vs Ireland,New Zealand,7,Mitchell Santner,0,1,0,0,0,1,T20I # 1862
Tim Southee,New Zealand Vs Ireland,New Zealand,8,Tim Southee,1,2,0,0,50,0,T20I # 1862
Paul Stirling,New Zealand Vs Ireland,Ireland,1,Paul Stirling,37,27,3,1,137.03,1,T20I # 1862
Andy Balbirnie,New Zealand Vs Ireland,Ireland,2,Andy Balbirnie(c),30,25,0,3,120,1,T20I # 1862
Lorcan Tucker,New Zealand Vs Ireland,Ireland,3,Lorcan Tucker,13,14,0,0,92.85,1,T20I # 1862
Harry Tector,New Zealand Vs Ireland,Ireland,4,Harry Tector,2,7,0,0,28.57,1,T20I # 1862
Gareth Delany,New Zealand Vs Ireland,Ireland,5,Gareth Delany,10,8,2,0,125,1,T20I # 1862
George Dockrell,New Zealand Vs Ireland,Ireland,6,George Dockrell,23,15,3,0,153.33,1,T20I # 1862
Curtis Campher,New Zealand Vs Ireland,Ireland,7,Curtis Campher,7,7,1,0,100,1,T20I # 1862
Fionn Hand,New Zealand Vs Ireland,Ireland,8,Fionn Hand,5,3,1,0,166.66,1,T20I # 1862
Mark Adair,New Zealand Vs Ireland,Ireland,9,Mark Adair,4,5,0,0,80,1,T20I # 1862
Barry McCarthy,New Zealand Vs Ireland,Ireland,10,Barry McCarthy,6,5,0,0,120,0,T20I # 1862
Josh Little,New Zealand Vs Ireland,Ireland,11,Josh Little,8,4,0,1,200,0,T20I # 1862
David Warner,Australia Vs Afghanistan,Australia,1,David Warner,25,18,5,0,138.88,1,T20I # 1864
Cameron Green,Australia Vs Afghanistan,Australia,2,Cameron Green,3,2,0,0,150,1,T20I # 1864
Mitchell Marsh,Australia Vs Afghanistan,Australia,3,Mitchell Marsh,45,30,3,2,150,1,T20I # 1864
Steven Smith,Australia Vs Afghanistan,Australia,4,Steven Smith,4,4,1,0,100,1,T20I # 1864
Marcus Stoinis,Australia Vs Afghanistan,Australia,5,Marcus Stoinis,25,21,0,2,119.04,1,T20I # 1864
Glenn Maxwell,Australia Vs Afghanistan,Australia,6,Glenn Maxwell,54,32,6,2,168.75,0,T20I # 1864
Matthew Wade,Australia Vs Afghanistan,Australia,7,Matthew Wade(c),6,8,1,0,75,1,T20I # 1864
Pat Cummins,Australia Vs Afghanistan,Australia,8,Pat Cummins,0,2,0,0,0,1,T20I # 1864
Kane Richardson,Australia Vs Afghanistan,Australia,9,Kane Richardson,1,1,0,0,100,1,T20I # 1864
Adam Zampa,Australia Vs Afghanistan,Australia,10,Adam Zampa,1,1,0,0,100,0,T20I # 1864
Rahmanullah Gurbaz,Australia Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,30,17,2,2,176.47,1,T20I # 1864
Usman Ghani,Australia Vs Afghanistan,Afghanistan,2,Usman Ghani,2,7,0,0,28.57,1,T20I # 1864
Ibrahim Zadran,Australia Vs Afghanistan,Afghanistan,3,Ibrahim Zadran,26,33,2,0,78.78,1,T20I # 1864
Gulbadin Naib,Australia Vs Afghanistan,Afghanistan,4,Gulbadin Naib,39,23,3,2,169.56,1,T20I # 1864
Mohammad Nabi,Australia Vs Afghanistan,Afghanistan,5,Mohammad Nabi(c),1,2,0,0,50,1,T20I # 1864
Najibullah Zadran,Australia Vs Afghanistan,Afghanistan,6,Najibullah Zadran,0,2,0,0,0,1,T20I # 1864
Darwish Rasooli,Australia Vs Afghanistan,Afghanistan,7,Darwish Rasooli,15,13,1,0,115.38,1,T20I # 1864
Rashid Khan,Australia Vs Afghanistan,Afghanistan,8,Rashid Khan,48,23,3,4,208.69,0,T20I # 1864
Naveen-ul-Haq,Australia Vs Afghanistan,Afghanistan,9,Naveen-ul-Haq,0,0,0,0,,0,T20I # 1864
Pathum Nissanka,Sri Lanka Vs England,Sri Lanka,1,Pathum Nissanka,67,45,2,5,148.88,1,T20I # 1867
Kusal Mendis,Sri Lanka Vs England,Sri Lanka,2,Kusal Mendis,18,14,1,1,128.57,1,T20I # 1867
Dhananjaya de Silva,Sri Lanka Vs England,Sri Lanka,3,Dhananjaya de Silva,9,11,0,0,81.81,1,T20I # 1867
Charith Asalanka,Sri Lanka Vs England,Sri Lanka,4,Charith Asalanka,8,9,0,0,88.88,1,T20I # 1867
Bhanuka Rajapaksa,Sri Lanka Vs England,Sri Lanka,5,Bhanuka Rajapaksa,22,22,3,0,100,1,T20I # 1867
Dasun Shanaka,Sri Lanka Vs England,Sri Lanka,6,Dasun Shanaka(c),3,8,0,0,37.5,1,T20I # 1867
Wanindu Hasaranga de Silva,Sri Lanka Vs England,Sri Lanka,7,Wanindu Hasaranga de Silva,9,9,1,0,100,1,T20I # 1867
Chamika Karunaratne,Sri Lanka Vs England,Sri Lanka,8,Chamika Karunaratne,0,2,0,0,0,1,T20I # 1867
Maheesh Theekshana,Sri Lanka Vs England,Sri Lanka,9,Maheesh Theekshana,0,0,0,0,,0,T20I # 1867
Jos Buttler,Sri Lanka Vs England,England,1,Jos Buttler(c),28,23,2,1,121.73,1,T20I # 1867
Alex Hales,Sri Lanka Vs England,England,2,Alex Hales,47,30,7,1,156.66,1,T20I # 1867
Ben Stokes,Sri Lanka Vs England,England,3,Ben Stokes,42,36,2,0,116.66,0,T20I # 1867
Harry Brook,Sri Lanka Vs England,England,4,Harry Brook,4,5,0,0,80,1,T20I # 1867
Liam Livingstone,Sri Lanka Vs England,England,5,Liam Livingstone,4,6,0,0,66.66,1,T20I # 1867
Moeen Ali,Sri Lanka Vs England,England,6,Moeen Ali,1,5,0,0,20,1,T20I # 1867
Sam Curran,Sri Lanka Vs England,England,7,Sam Curran,6,11,0,0,54.54,1,T20I # 1867
Chris Woakes,Sri Lanka Vs England,England,8,Chris Woakes,5,3,1,0,166.66,0,T20I # 1867
Stephan Myburgh,Netherlands Vs South Africa,Netherlands,1,Stephan Myburgh,37,30,7,0,123.33,1,T20I # 1871
Max O'Dowd,Netherlands Vs South Africa,Netherlands,2,Max O'Dowd,29,31,1,1,93.54,1,T20I # 1871
Tom Cooper,Netherlands Vs South Africa,Netherlands,3,Tom Cooper,35,19,2,2,184.21,1,T20I # 1871
Colin Ackermann,Netherlands Vs South Africa,Netherlands,4,Colin Ackermann,41,26,3,2,157.69,0,T20I # 1871
Bas de Leede,Netherlands Vs South Africa,Netherlands,5,Bas de Leede,1,7,0,0,14.28,1,T20I # 1871
Scott Edwards,Netherlands Vs South Africa,Netherlands,6,Scott Edwards(c),12,7,2,0,171.42,0,T20I # 1871
Quinton de Kock,Netherlands Vs South Africa,South Africa,1,Quinton de Kock,13,13,1,1,100,1,T20I # 1871
Temba Bavuma,Netherlands Vs South Africa,South Africa,2,Temba Bavuma(c),20,20,2,0,100,1,T20I # 1871
Rilee Rossouw,Netherlands Vs South Africa,South Africa,3,Rilee Rossouw,25,19,2,0,131.57,1,T20I # 1871
Aiden Markram,Netherlands Vs South Africa,South Africa,4,Aiden Markram,17,13,2,0,130.76,1,T20I # 1871
David Miller,Netherlands Vs South Africa,South Africa,5,David Miller,17,17,1,0,100,1,T20I # 1871
Heinrich Klaasen,Netherlands Vs South Africa,South Africa,6,Heinrich Klaasen,21,18,0,1,116.66,1,T20I # 1871
Wayne Parnell,Netherlands Vs South Africa,South Africa,7,Wayne Parnell,0,2,0,0,0,1,T20I # 1871
Keshav Maharaj,Netherlands Vs South Africa,South Africa,8,Keshav Maharaj,13,12,0,1,108.33,1,T20I # 1871
Kagiso Rabada,Netherlands Vs South Africa,South Africa,9,Kagiso Rabada,9,8,0,0,112.5,0,T20I # 1871
Anrich Nortje,Netherlands Vs South Africa,South Africa,10,Anrich Nortje,4,1,1,0,400,0,T20I # 1871
Najmul Hossain Shanto,Bangladesh Vs Pakistan,Bangladesh,1,Najmul Hossain Shanto,54,48,7,0,112.5,1,T20I # 1872
Litton Das,Bangladesh Vs Pakistan,Bangladesh,2,Litton Das,10,8,0,1,125,1,T20I # 1872
Soumya Sarkar,Bangladesh Vs Pakistan,Bangladesh,3,Soumya Sarkar,20,17,1,1,117.64,1,T20I # 1872
Shakib Al Hasan,Bangladesh Vs Pakistan,Bangladesh,4,Shakib Al Hasan(c),0,1,0,0,0,1,T20I # 1872
Afif Hossain,Bangladesh Vs Pakistan,Bangladesh,5,Afif Hossain,24,20,3,0,120,0,T20I # 1872
Mosaddek Hossain,Bangladesh Vs Pakistan,Bangladesh,6,Mosaddek Hossain,5,11,0,0,45.45,1,T20I # 1872
Nurul Hasan,Bangladesh Vs Pakistan,Bangladesh,7,Nurul Hasan,0,3,0,0,0,1,T20I # 1872
Taskin Ahmed,Bangladesh Vs Pakistan,Bangladesh,8,Taskin Ahmed,1,5,0,0,20,1,T20I # 1872
Nasum Ahmed,Bangladesh Vs Pakistan,Bangladesh,9,Nasum Ahmed,7,6,1,0,116.66,1,T20I # 1872
Mustafizur Rahman,Bangladesh Vs Pakistan,Bangladesh,10,Mustafizur Rahman,0,1,0,0,0,0,T20I # 1872
Mohammad Rizwan,Bangladesh Vs Pakistan,Pakistan,1,Mohammad Rizwan,32,32,2,1,100,1,T20I # 1872
Babar Azam,Bangladesh Vs Pakistan,Pakistan,2,Babar Azam(c),25,33,2,0,75.75,1,T20I # 1872
Mohammad Nawaz,Bangladesh Vs Pakistan,Pakistan,3,Mohammad Nawaz,4,11,0,0,36.36,1,T20I # 1872
Mohammad Haris,Bangladesh Vs Pakistan,Pakistan,4,Mohammad Haris,31,18,1,2,172.22,1,T20I # 1872
Shan Masood,Bangladesh Vs Pakistan,Pakistan,5,Shan Masood,24,14,2,0,171.42,0,T20I # 1872
Iftikhar Ahmed,Bangladesh Vs Pakistan,Pakistan,6,Iftikhar Ahmed,1,3,0,0,33.33,1,T20I # 1872
Shadab Khan,Bangladesh Vs Pakistan,Pakistan,7,Shadab Khan,0,0,0,0,,0,T20I # 1872
KL Rahul,India Vs Zimbabwe,India,1,KL Rahul,51,35,3,3,145.71,1,T20I # 1873
Rohit Sharma,India Vs Zimbabwe,India,2,Rohit Sharma(c),15,13,2,0,115.38,1,T20I # 1873
Virat Kohli,India Vs Zimbabwe,India,3,Virat Kohli,26,25,2,0,104,1,T20I # 1873
Suryakumar Yadav,India Vs Zimbabwe,India,4,Suryakumar Yadav,61,25,6,4,244,0,T20I # 1873
Rishabh Pant,India Vs Zimbabwe,India,5,Rishabh Pant,3,5,0,0,60,1,T20I # 1873
Hardik Pandya,India Vs Zimbabwe,India,6,Hardik Pandya,18,18,2,0,100,1,T20I # 1873
Axar Patel,India Vs Zimbabwe,India,7,Axar Patel,0,0,0,0,,0,T20I # 1873
Wessly Madhevere,India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,0,1,0,0,0,1,T20I # 1873
Craig Ervine,India Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),13,15,2,0,86.66,1,T20I # 1873
Regis Chakabva,India Vs Zimbabwe,Zimbabwe,3,Regis Chakabva,0,6,0,0,0,1,T20I # 1873
Sean Williams,India Vs Zimbabwe,Zimbabwe,4,Sean Williams,11,18,0,1,61.11,1,T20I # 1873
Sikandar Raza,India Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,34,24,3,0,141.66,1,T20I # 1873
Tony Munyonga,India Vs Zimbabwe,Zimbabwe,6,Tony Munyonga,5,4,1,0,125,1,T20I # 1873
Ryan Burl,India Vs Zimbabwe,Zimbabwe,7,Ryan Burl,35,22,5,1,159.09,1,T20I # 1873
Wellington Masakadza,India Vs Zimbabwe,Zimbabwe,8,Wellington Masakadza,1,7,0,0,14.28,1,T20I # 1873
Richard Ngarava,India Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,1,2,0,0,50,1,T20I # 1873
Tendai Chatara,India Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,4,4,1,0,100,1,T20I # 1873
Blessing Muzarabani,India Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,0,2,0,0,0,0,T20I # 1873
Finn Allen,New Zealand Vs Pakistan,New Zealand,1,Finn Allen,4,3,1,0,133.33,1,T20I # 1877
Devon Conway,New Zealand Vs Pakistan,New Zealand,2,Devon Conway,21,20,3,0,105,1,T20I # 1877
Kane Williamson,New Zealand Vs Pakistan,New Zealand,3,Kane Williamson(c),46,42,1,1,109.52,1,T20I # 1877
Glenn Phillips,New Zealand Vs Pakistan,New Zealand,4,Glenn Phillips,6,8,1,0,75,1,T20I # 1877
Daryl Mitchell,New Zealand Vs Pakistan,New Zealand,5,Daryl Mitchell,53,35,3,1,151.42,0,T20I # 1877
James Neesham,New Zealand Vs Pakistan,New Zealand,6,James Neesham,16,12,1,0,133.33,0,T20I # 1877
Mohammad Rizwan,New Zealand Vs Pakistan,Pakistan,1,Mohammad Rizwan,57,43,5,0,132.55,1,T20I # 1877
Babar Azam,New Zealand Vs Pakistan,Pakistan,2,Babar Azam(c),53,42,7,0,126.19,1,T20I # 1877
Mohammad Haris,New Zealand Vs Pakistan,Pakistan,3,Mohammad Haris,30,26,2,1,115.38,1,T20I # 1877
Shan Masood,New Zealand Vs Pakistan,Pakistan,4,Shan Masood,3,4,0,0,75,0,T20I # 1877
Iftikhar Ahmed,New Zealand Vs Pakistan,Pakistan,5,Iftikhar Ahmed,0,0,0,0,,0,T20I # 1877
KL Rahul,India Vs England,India,1,KL Rahul,5,5,1,0,100,1,T20I # 1878
Rohit Sharma,India Vs England,India,2,Rohit Sharma(c),27,28,4,0,96.42,1,T20I # 1878
Virat Kohli,India Vs England,India,3,Virat Kohli,50,40,4,1,125,1,T20I # 1878
Suryakumar Yadav,India Vs England,India,4,Suryakumar Yadav,14,10,1,1,140,1,T20I # 1878
Hardik Pandya,India Vs England,India,5,Hardik Pandya,63,33,4,5,190.9,1,T20I # 1878
Rishabh Pant,India Vs England,India,6,Rishabh Pant,6,4,1,0,150,1,T20I # 1878
Ravichandran Ashwin,India Vs England,India,7,Ravichandran Ashwin,0,0,0,0,,0,T20I # 1878
Jos Buttler,India Vs England,England,1,Jos Buttler(c),80,49,9,3,163.26,0,T20I # 1878
Alex Hales,India Vs England,England,2,Alex Hales,86,47,4,7,182.97,0,T20I # 1878
Mohammad Rizwan,Pakistan Vs England,Pakistan,1,Mohammad Rizwan,15,14,0,1,107.14,1,T20I # 1879
Babar Azam,Pakistan Vs England,Pakistan,2,Babar Azam(c),32,28,2,0,114.28,1,T20I # 1879
Mohammad Haris,Pakistan Vs England,Pakistan,3,Mohammad Haris,8,12,1,0,66.66,1,T20I # 1879
Shan Masood,Pakistan Vs England,Pakistan,4,Shan Masood,38,28,2,1,135.71,1,T20I # 1879
Iftikhar Ahmed,Pakistan Vs England,Pakistan,5,Iftikhar Ahmed,0,6,0,0,0,1,T20I # 1879
Shadab Khan,Pakistan Vs England,Pakistan,6,Shadab Khan,20,14,2,0,142.85,1,T20I # 1879
Mohammad Nawaz,Pakistan Vs England,Pakistan,7,Mohammad Nawaz,5,7,0,0,71.42,1,T20I # 1879
Mohammad Wasim,Pakistan Vs England,Pakistan,8,Mohammad Wasim,4,8,0,0,50,1,T20I # 1879
Shaheen Shah Afridi,Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi,5,3,1,0,166.66,0,T20I # 1879
Haris Rauf,Pakistan Vs England,Pakistan,10,Haris Rauf,1,1,0,0,100,0,T20I # 1879
Jos Buttler,Pakistan Vs England,England,1,Jos Buttler(c),26,17,3,1,152.94,1,T20I # 1879
Alex Hales,Pakistan Vs England,England,2,Alex Hales,1,2,0,0,50,1,T20I # 1879
Phil Salt,Pakistan Vs England,England,3,Phil Salt,10,9,2,0,111.11,1,T20I # 1879
Ben Stokes,Pakistan Vs England,England,4,Ben Stokes,52,49,5,1,106.12,0,T20I # 1879
Harry Brook,Pakistan Vs England,England,5,Harry Brook,20,23,1,0,86.95,1,T20I # 1879
Moeen Ali,Pakistan Vs England,England,6,Moeen Ali,19,13,3,0,146.15,1,T20I # 1879
Liam Livingstone,Pakistan Vs England,England,7,Liam Livingstone,1,1,0,0,100,0,T20I # 1879
